,meaning,example
conciliatory,making or willing to make concessions,"I did, I suppose, hope that she might finally relent a little and make some conciliatory response or other, allowing us once and for all to put the whole episode behind us."
condone,"excuse, overlook, or make allowances for","My brother had privately agonized over whether to go or not—titillated by the opportunity but knowing it was sneaky and dishonorable, the sort of behavior my parents would never condone."
confound,be confusing or perplexing to,"For as long as I could remember, people had always confounded me."
connoisseur,an expert able to appreciate a field,Mommy was a connoisseur of ministers; she knew them the way a French wine connoisseur knows Beaujolais red from Vouvray white.
contention,the act of competing as for profit or a prize,"For fifteen minutes, they were left alone with the cameras rolling, with instructions to discuss any topic from their marriage that had become a point of contention."
contentious,showing an inclination to disagree,Klingons could be notoriously contentious when it came to their food.
contrite,feeling or expressing pain or sorrow,At the hurt in his blue eyes she was instantly contrite.
conundrum,a difficult problem,"“No, no,” said Emma, “it will not reckon low. A conundrum of Mr. Weston’s shall clear him and his next neighbour. Come, sir, pray let me hear it.”"
converge,be adjacent or come together,Brawls erupted when rival gangs converged on the same pauper’s field.
convoluted,highly complex or intricate,The tickets he wrote out were long and convoluted and very elaborate.
craven,lacking even the rudiments of courage; abjectly fearful,"He shuddered at his own craven circumlocution, using so meaningless a word to obscure so hideous a truth."
daunt,cause to lose courage,Many had been separated from loved ones during the fire and now had the daunting task of searching through a ruined city for them.
decorum,propriety in manners and conduct,"So decorum is, literally, speaking your audience’s language."
default,an option that is selected automatically,"I mean, not just by default because I am in love with Dee, but I feel like these people are my people or something."
deference,courteous regard for people's feelings,"I’m not sure what kind of deference, if any, is due here: Is she my supervisor now?"
delineate,represented accurately or precisely,"But the rare urge west had fixed upon our family, and so my aunt crossed boundaries not delineated in space."
denigrate,attack the good name and reputation of someone,"I know my parents had their reasons to raise us without religion, but it still upsets me to hear my grandmother's peaceful beliefs denigrated."
deride,treat or speak of with contempt,"Everything was custom engineered—“no hand-me-down magnets, no industrial discards . . . ‘no patch work,’ ” as the Joliots’ emissary Maurice Nahmias had derided the old standards."
derivative,a compound obtained from another compound,The same thing goes for taking the derivative.
desiccate,lacking vitality or spirit; lifeless,"In the wake of the reapers’ scythes the black land showed again through the stubble, no longer moist and rich but bone-hard, desiccated, and beginning to crack in all directions under the burning sun."
desultory,"marked by lack of definite plan, purpose, or enthusiasm",They sat and praised Tanzania and dreamed about stockfish and were still talking desultorily when a Peugeot 403 sped across the street.
deterrent,something immaterial that interferes with action or progress,"Information is a beacon, a cudgel, an olive branch, a deterrent— all depending on who wields it and how."
diatribe,thunderous verbal attack,"Jacobs attended city council meetings, but only sporadically, which was a good thing, in C.P.’s view, since Jacobs’ diatribes left listeners with the impression that the man was unhinged."
dichotomy,a classification into two opposed parts or subclasses,"The same moralistic dichotomy that Jefferson saw inside the United States between discernible heroes and villains, he also projected into the international arena."
diffidence,lack of self-assurance,"Invariably, it took Ben and Mary Anne months before they could overcome their native diffidence, which actually was an obstinate refusal to make themselves vulnerable."
diffuse,spread out; not concentrated in one place,"All were the same, a brilliant white diffused with gray, I closed my eyes for a moment and looked again and still no change."
digression,a message that departs from the main subject,"After a page-long digression on pacifism, Christianity, and the Roman Empire, Keegan returns to what is wrong with Clausewitz’s dictum and with the modern understanding of war it captures."
dirge,a song or hymn of mourning as a memorial to a dead person,"The story droned on, speeded up for the attack, grew sad over the wounds, struck a dirge at the burials on the great plains."
disabuse,free somebody from an erroneous belief,"He never claimed to be that which he was not, but did not disabuse people of their assumptions."
discerning,having or revealing keen insight and good judgment,“I am quite good at discerning lies. I hear none from you. Your story also fits with what Hazel Levesque told us.”
discordant,not in agreement or harmony,The “Danse Macabre” came to a tempestuous and discordant end.
discredit,the state of being held in low esteem,"Of particular interest were details that could be used to humiliate and discredit Ellsberg—tales of recreational drug use, and rumors that Daniel and Patricia enjoyed visiting nudist camps."
discrepancy,a difference between conflicting facts or claims or opinions,He said he did not believe there were such large ________ between what local drivers earned compared with their peers in surrounding states.
discrete,constituting a separate entity or part,"By 1910, the greatest minds in biology had accepted that discrete particles of information carried on chromosomes were the carriers of hereditary information."
disingenuous,not straightforward or candid,But any suggestion that litigants need not worry about policy reform because they can always sue for damages would be disingenuous—particularly as applied to race discrimination cases.
disinterested,unaffected by concern for one's own welfare,"In word and act impeccable, disinterested toward all the realm—though it is king’s justice to hold one man abhorred and love another; no man alive could say Odysseus wronged him."
disjointed,taken apart at the points of connection,"Both my voice and body have a jerky, disjointed quality, like a puppet being manipulated by unseen forces."
dismiss,stop associating with,He dismisses the corporal with a slight wag of his chin.
disparage,express a negative opinion of,Jordan has tough laws that forbid slandering the royal family or writing articles that ________ the armed forces and security services.
disparate,fundamentally different or distinct in quality or kind,"The important thing was that Barack had managed to process his life story, snapping together the disparate pieces of his Afro-Kansan-Indonesian-Hawaiian-Chicagoan identity, writing himself into a sort of wholeness this way."
dissemble,behave unnaturally or affectedly,"To dissemble your feelings, to control your face, to do what everyone else was doing, was an instinctive reaction."
disseminate,cause to become widely known,"The legend that the herbicides are toxic only to plants and so pose no threat to animal life has been widely disseminated, but unfortunately it is not true."
dissolution,separation into component parts,"If the price of peace was the dissolution of the Union, many people felt that compensation lay in stopping human slaughter."
dissonance,disagreeable sounds,"In some modern music, many of these dissonances are heard as pleasant or interesting or jazzy and don't need to be resolved."
distend,cause to expand as if by internal pressure,It is misleading to describe the expansion of the universe as a sort of distending bubble viewed from the outside.
distill,undergo condensation,"The General Assembly had made it illegal to distill whiskey because it was made from grain, and grain was needed for food."
diverge,move or draw apart,"One end of the thing was pressed into the bank, but along its length it diverged, sticking out slightly into the stream."
divest,take away possessions from someone,Robert Oppenheimer could no more divest himself of political concerns than he could give up music and wine; they were all essential to his method of engaging with the outside world.
document,a representation of a person's thinking with symbolic marks,"Open to the public, the Marshall Library was also being certified for the storage of classified documents."
dogmatic,pertaining to a code of beliefs accepted as authoritative,"But for all the attention paid to such rituals, Buddhism as practiced by the Sherpas was a refreshingly supple and non- dogmatic religion."
dormant,inactive but capable of becoming active,For the dormant mud frogs we had been for so long.
dupe,fool or hoax,He could not be accused of being a dupe of the government or of having gone soft.
ebullient,joyously unrestrained,"The crew’s girl magnet was Harry Brooks, a good-looking, ebullient radioman and waist gunner from Michigan."
eclectic,selecting what seems best of various styles or ideas,"You say that you hear me, that you understand, but 1 am not so sure that the force of my Mecca—The Mecca—can be translated into your new and eclectic tongue."
efficacy,capacity or power to produce a desired result,"In this domain, the prize for efficacy goes to the Cantonese dialect of Chinese, whose brevity grants residents of Hong Kong a rocketing memory span of about 10 digits."
effrontery,audacious behavior that you have no right to,Perhaps he had found a means of assaulting the effrontery of M. Minkoff.
elegy,a mournful poem; a lament for the dead,Word spread quickly on the street that a small elegy of scythes had entered the Tonist cloister.
elicit,"call forth, as an emotion, feeling, or response","To investigate this question Joris Lammers at Tilburg University, in the Netherlands, and Adam Galinsky at Northwestern University, in Illinois, have conducted a series of experiments which attempted to ________ states of powerfulness and powerlessness in the minds of volunteers."
embellish,"make more attractive, as by adding ornament or color","“A terrible secret,” Bethan called it, enjoying the attention she received as she retold the embellished story."
empirical,derived from experiment and observation rather than theory,This aspiration towards demonstration was not confined to what we would think of as the empirical sciences but was also commonplace in theology.
emulate,"strive to equal or match, especially by imitating","Dunstaple was a composer with a new and enchanting style that everyone wanted to emulate, and musicians fell over themselves praising the startling new sound of English triads."
endemic,native to or confined to a certain region,"In Cordoba Province in Argentina, however, chronic arsenic poisoning, accompanied by arsenical skin cancers, is endemic because of the contamination of drinking water derived from rock formations containing arsenic."
enervate,"weaken physically, mentally, or morally",You may attempt to defend your enervating use of the passive voice by pointing out that the only alternative is excessive reliance upon the first person personal pronoun or upon the pontifical We.
engender,call forth,"These were, I shortly found, connected almost solely with the dusty nature of the job, and of the consequent thirst engendered in the operators."
enhance,increase,"Then they say stuff to me like, “That’s good, Andy, but couldn’t you have improved this part or ________ this section?”"
ephemeral,"anything short-lived, as an insect that lives only for a day","Compared to a star, we are like mayflies, fleeting ephemeral creatures who live out their whole lives in the course of a single day."
equanimity,steadiness of mind under stress,"Once Y-12 was operational, their equanimity made them superb operators."
equivocate,be deliberately ambiguous or unclear,"She refused to equivocate on the issue of school desegregation, and in the Hispanic community she became an important, heroic voice."
erudite,having or showing profound knowledge,It doesn’t matter how civilized and erudite the husband is.
esoteric,understandable only by an enlightened inner circle,"The chaplain memorized the prophetic words solemnly, entranced further by their esoteric import."
eulogy,a formal expression of praise for someone who has died,Obama is to deliver ________ in honor of those who died.
euphemism,an inoffensive expression substituted for an offensive one,"Even she, who knew nothing of military strategy or journalistic convention, understood a euphemism for retreat."
exacerbate,make worse,But maybe his fatigue is exacerbated by the potassium iodide he's taking.
exculpate,pronounce not guilty of criminal charges,The vibe even approached easygoing and carefree — as if Hollywood felt it had exculpated itself with all of the serious talk on the red carpet and the sharp-edged jokes Mr. Meyers cracked during his monologue.
exigency,a pressing or urgent situation,I visualized a self-appointed jury of twelve people who condemned him to death and were forced by exigencies of the case to be their own executioners.
extrapolation,an inference about the future based on known facts,"“Ernest loved technical extrapolation, and we had fun drawing such an accelerator.”"
facetious,cleverly amusing in tone,I don't know whether he was just trying to be facetious or if he actually worried that I walked around campus acting like a raving lunatic.
facilitate,make easier,The indictment charged eleven of us with complicity in over two hundred acts of sabotage aimed at facilitating violent revolution and an armed invasion of the country.
fallacious,containing or based on incorrect reasoning,"As Bunny rattled on he would sit smoking with deep, resolute drags, pretending not to understand Bun’s fallacious Italian."
fatuous,devoid of intelligence,"As she walked about the yellowing hillsides or worked at easy tasks, her lips were curled in a perpetual fatuous smile."
fawning,attempting to win favor by flattery,Which of the following would best be considered fawning?
felicitous,exhibiting an agreeably appropriate manner or style,"Though no such felicitous circumstance transpired, still I walked with light enough step."
fervor,feelings of great warmth and intensity,"I admitted his great revolutionary fervor, but I felt that his zeal was a trifle excessive."
flag,a rectangular piece of cloth of distinctive design,"The flags on the front rudders stiffened, and we could now see the eyes painted on the flags."
fledgling,young bird that has just become capable of flying,This was the most important way he kept himself informed about the hundreds of things happening in the fledgling nation.
flout,treat with contemptuous disregard,She wasn’t used to my flouting the rules.
foment,try to stir up,"Even as Tisquantum attempted to foment Indian distrust of Massasoit, he told the colonists that Massasoit was going to double-cross them by leading a joint attack on Plymouth with the Narragansett."
forestall,keep from happening or arising; make impossible,"To forestall her, he said, “We’ll give you fifteen a week, starting...”"
frugality,prudence in avoiding waste,"Snap judgments can be made in a snap because they are frugal, and if we want to protect our snap judgments, we have to take steps to protect that frugality."
futile,producing no result or effect,"We saw quick glimpses of the enemy lines: heads and rifles now raised, watching the futile approach, waiting for a moment to fire."
gainsay,take exception to,He spoke with an earnestness that it was hard to gainsay.
garrulous,full of trivial conversation,"His voice was nasal, garrulous, W. C. Fields with a bad case of Long Island lockjaw."
goad,stab or urge on as if with a pointed stick,"Alan scowls at me, not sure if I’m being sincere or goading him."
gouge,"an impression in a surface, as made by a blow",The roof of the tunnel was scraping his shoulders and he was afraid that it would tear through the dry suit and gouge into his skin as well.
grandiloquent,lofty in style,"In a grandiloquent, newsreel-style voice, the show’s narrator, Westbrook Van Voorhis, began his report: “Today, at the eastern extremity of the state of Pennsylvania, a remarkable construction project is transforming the face of the countryside.”"
gregarious,temperamentally seeking and enjoying the company of others,"Even now, Izzy thought, her sister seemed less effervescent, less gregarious, as if a damper had been closed."
guileless,innocent and free of deceit,So Ruth rose up and out of her guileless inefficiency to claim her bit of balm right after the preparation of dinner and just before the return of her husband from his office.
gullible,naive and easily deceived or tricked,I can hardly believe he is so gullible that the sailors are able to fool him like this.
harangue,a loud bombastic declamation expressed with strong emotion,The boys were harangued by a man in a full beard.
homogenous,all of the same or similar kind or nature,"But although he speculated that the atom was mostly empty space rather than a homogenous mass speckled with charged nuggets, he had not yet conceived an alternative model."
hyperbole,extravagant exaggeration,Buster’s claim that his dog could read was hyperbole.
iconoclast,someone who attacks cherished ideas or institutions,But Wagner wasn't the only composer who was guilty of creating unnecessary clutter in the eyes of an iconoclast like Satie.
idolatry,the worship of objects or images as gods,She must have looked into our eyes and seen the shining idolatry there and understood that she was trapped.
immutable,not subject or susceptible to change or variation,"This phrase, ‘immutable mobiles’, sums up neatly the epistemological paradox of the fact: facts can be moved around, transferred from one person to another, without being degraded, or so at least the story goes."
impair,make worse or less effective,"All rulers of all ages have tried to impose a false view of the world upon their followers, but they could not afford to encourage any illusion that tended to impair military efficiency."
impassive,having or revealing little emotion or sensibility,"The three of them nodded, Blue Eyes smiling, Moby swigging from his bottle, Tool impassive."
impede,be a hindrance or obstacle to,"He was half tempted to go pick it for Trina, but he knew she’d scold him within an inch of his life if he dared impede the progress of the forest."
impermeable,preventing especially liquids to pass or diffuse through,"But it is illusion to think that there is anything fragile about the life of the earth; surely this is the toughest membrane imaginable in the universe, opaque to probability, impermeable to death."
imperturbable,marked by extreme calm and composure,"Chamberlin had planned the meeting as a trap to try to shatter Holmes’s imperturbable façade, and was impressed with Holmes’s ability to maintain his insouciance despite the rancor in the room."
impervious,not admitting of passage or capable of being affected,"Behind it trailed a growing bunch of revelers, dancing along with the beat, drinking and throwing their empty bottles to shatter against the huge, impervious machine."
implacable,incapable of being appeased or pacified,She set about on a disguised but implacable vigilance.
implicit,suggested though not directly expressed,"Most striking, perhaps, is the overwhelming evidence that implicit bias measures are disassociated from explicit bias measures."
implode,burst inward,"And now I’m struck with a crippling wave of panic that starts in my chest and pulls like a lethal gravity, collapsing my lungs until I’ve imploded so deep within myself, I can’t breathe."
inadvertently,without knowledge or intention,"Remembering the delectable meal the fisher had inadvertently provided for him, the young dog determined to repeat it."
inchoate,only partly in existence; imperfectly formed,"To Lawrence, however, the assignment seemed both inchoate and potentially overwhelming."
incongruity,the quality of disagreeing,"Buffalo Bill’s Wild West may indeed have been an “incongruity,” as the directors had declared in rejecting his request for a concession within Jackson Park, but the citizens of Chicago had fallen in love."
inconsequential,lacking worth or importance,"Wondering whether I have or want one, trying to decide if the end of existence is a tragedy, a comedy, or as inconsequential as that chem lab I forgot to turn in last week."
incorporate,make into a whole or make part of a whole,"Regardless of what material you are trying to incorporate, thoroughly understanding the aesthetics and values will be highly beneficial to preserving the integrity and authenticity of both the music and culture."
indeterminate,not fixed or known in advance,"If faced with the Solomonic task of sacrificing the life of one newborn for an indeterminate number of fetuses, what number might you choose?"
indigence,a state of extreme poverty or destitution,"It is a fine thing, reader, to be lifted in a moment from indigence to wealth—a very fine thing; but not a matter one can comprehend, or consequently enjoy, all at once."
indolent,disinclined to work or exertion,She worried that she was becoming indolent and losing her English.
inert,unable to move or resist motion,"Even then I kept seeing the soldier’s body tumbling toward the water, splashing down hard, how inert and heavy it was, how completely dead."
ingenuous,lacking in sophistication or worldliness,"Even in the happiest times he’d made fun of my California accent, my secondhand overcoat and my room barren of tasteful bibelots, but in such an ingenuous way I couldn’t possibly do anything but laugh."
inherent,existing as an essential constituent or characteristic,"In my humble opinion, the prescribed story structure, the limited length, and the other restrictions inherent to film cause the truth to be treated as a handicap."
innocuous,not injurious to physical or mental health,"It was innocuous: an infusion of chamomile, nothing more."
insensible,barely able to be perceived,She was near insensible by the time we reached it.
insinuate,suggest in an indirect or covert way; give to understand,"And he shot into the crook of one of Glerk's arms and insinuated himself into the fleshy folds of his body, and was, once again, the happiest dragon in the world."
insipid,lacking interest or significance or impact,"It was cold outside, and dark, and a leaky, insipid mist lay swollen in the air and trickled down the large, unpolished stone blocks of the houses and the pedestals of monuments."
insularity,lack of openness to new ideas; narrow-mindedness,I exaggerate only slightly: British theatre was marked by its cosy insularity and its fog-isolates-Europe attitude towards the continental mainland.
intractable,difficult to manage or mold,"Many mathematical problems are so intractable, and experiments involving them so expensive, that this kind of probabilistic simulation is the only alternative to giving up on them."
intransigence,stubborn refusal to compromise or change,"Fed up with the Housing Authority’s intransigence, leading 150 protesters, Ann took over a meeting between the city council and representatives of the DHA."
inundate,"fill or cover completely, usually with water",Residents of Cedar Rapids are waiting anxiously as the quickly rising river threatens to ________ their city with devastating floodwaters.
inured,made tough by habitual exposure,"She said she was long ago inured to shocks, and insisted on having P. D. rescue me."
invective,abusive language used to express blame or censure,Churchill combined their example with his father Randolph’s gift for invective.
irascible,quickly aroused to anger,As Reed describes it: The case before the jury involved an irascible gentleman who lived next door to a filling station.
irresolute,uncertain how to act or proceed,"My courage, watery and irresolute to begin with, ebbed away."
itinerary,an established line of travel or access,"On the recommendation of a friend, I called Abercrombie & Kent, and soon found myself ogling brochures and ________ of Nile cruises on various sizes of boats."
laconic,brief and to the point,"She turns red and grins, and when she sits down, it’s Bobby’s turn—he moves like John Travolta in Pulp Fiction, shaking his hips with a laconic tilt, turning his feet more than his body."
lassitude,a feeling of lack of interest or energy,"A cold lassitude came over him and he passed into a dreaming, inert stupor, full of cramp and pain."
latent,potentially existing but not presently evident or realized,"What would a society of eunuchs achieve?—But of course they are not eunuchs, in somer, but rather more comparable to preadolescents: not castrate, but latent."
laud,"praise, glorify, or honor","I praised the response as “magnificent” to the press, lauding our people for “defying unprecedented intimidation by the state.”"
lethargic,deficient in alertness or activity,"I found the sick-room unwatched, as I had expected: no nurse was there; the patient lay still, and seemingly lethargic; her livid face sunk in the pillows: the fire was dying in the grate."
levee,an embankment built to prevent a river from overflowing,Maybe if I ever made it back to Stockton me and Diego could try and start it going at the levee.
levity,a manner lacking seriousness,"These elements were acted on by two forces: gravity, the tendency for earth and water to sink, and levity, the tendency for air and fire to rise."
log,a segment of the trunk of a tree when stripped of branches,"The remaining one-third—49 million acres, or an area roughly twice the size of Ohio—is available for logging."
loquacious,full of trivial conversation,Even the loquacious Mrs. Hubbard was unnaturally quiet.
lucid,transparently clear; easily understandable,"Propped on the table I found a long, businesslike letter from the summer school and a thin blue letter on leftover Yale stationery, addressed to me in Buddy Willard's lucid hand."
luminous,softly bright or radiant,"Grey, feathery ashes scurried hither and thither at his breath but no spark shone among them The twins watched anxiously and Piggy sat expressionless behind the luminous wall of his myopia."
magnanimity,nobility and generosity of spirit,Rand held up her hands in a gesture of mock magnanimity.
malingerer,someone shirking duty by feigning illness or incapacity,"If the woman refused, they would report to the office that the woman was a malingerer."
malleable,capable of being shaped or bent,"Why can’t the Americans see the Communists in their own backyards, in their universities, bending the malleable minds of the young?"
maverick,someone who exhibits independence in thought and action,"He shuffled to the back of the bus, grateful that it wasn’t one of the crowded school buses but a maverick bus that appeared at odd hours."
mendacious,given to lying,"“Especially,” said Charles, “when the batty bandleader is a disingenuous and mendacious charlatan.”"
metamorphosis,striking change in appearance or character or circumstances,"Other scientists are working on the so-called “juvenile hormone,” a powerful substance which prevents metamorphosis of the larval insect until the proper stage of growth has been reached."
meticulous,marked by precise accordance with details,He had me put in the Mabel Mercer tape and then enlightened me about her meticulous phrasing.
misanthrope,someone who dislikes people in general,"Old Abraham, who was not old at all but who had comported himself in the manner of an elderly misanthrope since he first learned to sit up."
mitigate,lessen or to try to lessen the seriousness or extent of,"Because for a private citizen to become a prince presupposes virtue or Fortune, it appears that either the one or the other of these two things should partially mitigate many of the problems."
mollify,cause to be more favorably inclined,"Piliso was not mollified by this, and we sensed that something was wrong."
morose,showing a brooding ill humor,"Sonia is morose, running a slight fever from her typhoid shot, still expecting, when she enters the living room in the morning, to see a tree trimmed with lights."
mundane,found in the ordinary course of events,"She imagined him as a child surrounded by too many brightly colored toys, always being encouraged to carry out “projects,” always being told that his mundane ideas were wonderful."
negate,make ineffective by counterbalancing the effect of,"Instead, Eliza negated everything I said and suggested I might actually be the problem on the team!"
neophyte,a participant with no experience with an activity,Ben noticed that other Marines were beginning to watch their table as the word of the neophyte drinker spread around the bar.
obdurate,stubbornly persistent in wrongdoing,"So the boy went to the front door, rang the bell, hoping some other less obdurate servant might let him in."
obsequious,attempting to win favor from influential people by flattery,No car has ever had such obsequious treatment as did Rocinante as we moved slowly on.
obviate,do away with,"“Some would contend that this confession would obviate the need for a lengthy trial,” she said in a cold, heartless voice that made Finn miss the real Ms. Morales."
occlude,block passage through,"But deep in the fields the brownish stalks rise from the earth to more than twice her height, occluding her vision."
officious,intrusive in a meddling or offensive manner,"A voice is talking to her now, calm and officious."
onerous,burdensome or difficult to endure,"The insubstantial frost feathers ensured that those last twenty feet remained hard, scary, onerous."
oscillate,move or swing from side to side regularly,"Doctors came running up from every direction with needles, lights, tubes, rubber mallets and oscillating metal tines."
ostentatious,intended to attract notice and impress others,"She continued forward, sidestepping open trunks that held plumed garments from every period, curled wigs, and ostentatious hats."
paragon,a perfect embodiment of a concept,"Founded in 1948, it was, in many ways, meant to be the paragon of suburban life, with mass-produced houses and cookie-cutter yards."
partisan,a fervent and even militant proponent of something,"“They worry lest we join the partisans . . “As far as I’m concerned, this whole business of deportation is nothing but a big farce."
pathological,relating to the study of diseases,I was afraid that maybe he would say we couldn’t keep a dog who went crazy with pathological fear every time there was a crack of thunder.
paucity,an insufficient quantity or number,"Like Waterman and McCunn, he displayed a staggering paucity of common sense."
pedantic,marked by a narrow focus on or display of learning,"The voice that had spoken it was a Scholar’s, precise and pedantic and lazily arrogant, very much a Jordan College voice."
penchant,a strong liking or preference,"So far, the only blemish on Parker’s record while serving the president is a penchant for tardiness, as Crook knows all too well."
penury,a state of extreme poverty or destitution,He was poor and lived in utter penury.
perennial,lasting an indefinitely long time,He saw no reason to change his perennial opinion of her as a sour and fidgety frustration.
perfidious,tending to betray,He called Nino a ________ traitor and a foolish viper.
